,Appid,Game name,Release date,Coming soon,Initial price,Final price,Developer,Category,Genre,Recommendations
0,250700,Super Time Force Ultra,"Aug 25, 2014",False,14.99,14.99,Capybara Games,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play on TV","Action, Indie",571
1,531490,Golden Swords,"Oct 26, 2016",False,3.99,3.99,Vlad K.,"Single-player, Steam Trading Cards","Adventure, Indie, RPG, Strategy",0
2,10500,Total War: EMPIRE – Definitive Edition,"Mar 4, 2009",False,24.99,24.99,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Stats",Strategy,11335
3,454930,Under Zero,"Mar 2, 2017",False,3.99,3.99,Dagestan Technology,"Single-player, Steam Achievements, Steam Trading Cards","Action, Adventure, Indie, RPG",746
4,423900,Dinocide,"Jan 21, 2016",False,9.99,9.99,AtomicTorch Studio,"Single-player, Full controller support, Steam Trading Cards, Steam Cloud","Action, Adventure, Casual, Indie, RPG",179
5,402120,Deathstate: Abyssal Edition,"Oct 19, 2015",False,9.99,9.99,Bread Machine Games,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Action, Adventure, Indie, RPG",255
6,566290,Billiard: VR,"Dec 12, 2016",False,5.99,5.99,Elusive Team,"Single-player, Steam Trading Cards",Sports,0
7,391070,Stellar 2D,"Jul 30, 2015",False,0.99,0.99,quad games,"Single-player, Steam Trading Cards, Partial Controller Support","Action, Casual, Indie",746
8,370560,Geek Resort,"Jan 20, 2016",False,4.99,4.99,Shinypix,"Single-player, Steam Trading Cards, Steam Cloud","Casual, Simulation",0
9,546980,Midnight Carnival,"Nov 22, 2016",False,0.99,0.99,Delusional Games,"Single-player, Steam Trading Cards","Casual, Early Access",173
10,464500,The Melody of Grisaia,"Dec 15, 2016",False,8.99,8.99,Frontwing,"Single-player, Steam Trading Cards, Steam Cloud","Adventure, Casual",0
11,488680,Tower Defense Ultimate,"Jun 10, 2016",False,5.99,5.99,Dev4play,"Single-player, Steam Trading Cards","Action, Indie, Strategy",0
12,447780,LostWinds,"Mar 24, 2016",False,9.99,9.99,Frontier Developments,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud",Adventure,327
13,560220,Estiman,"Nov 23, 2016",False,0.99,0.99,Kool2Play,"Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards",Indie,0
14,490690,The Barbarian and the Subterranean Caves,"Feb 9, 2017",False,4.99,4.99,NLB project,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud","Adventure, Indie",0
15,548500,Payroll,"Apr 3, 2017",False,0.99,0.99,"GZ Storm, Astrojone","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Commentary available","Adventure, Casual, Indie, Simulation",0
16,576670,Sky Is Arrows,"Jan 8, 2018",False,9.99,9.99,"2,000 Damage","Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards","Adventure, Indie, Strategy",0
17,921530,Demon King Domination: Deluxe Edition,"Sep 30, 2018",False,4.99,4.99,Belgerum,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Remote Play on TV","Action, Adventure, Casual, Indie, RPG",0
18,485450,Ninja Stealth,"Sep 29, 2016",False,0.99,0.99,SC Jogos,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud","Casual, Indie, Strategy",405
19,256410,Might & Magic: Duel of Champions,"Nov 7, 2013",False,0.0,0.0,Blue Byte,"Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards","Free to Play, Strategy",3642
20,546450,North Side,"Oct 28, 2016",False,1.99,1.99,Obidak Software,"Single-player, Steam Trading Cards","Adventure, Indie, Simulation, Early Access",162
21,528820,Eisenwald: Blood of November,"Nov 1, 2016",False,2.24,8.99,Aterdux Entertainment,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud","Adventure, Indie, RPG, Strategy",108
22,274980,Influent,"Mar 20, 2014",False,9.99,9.99,Rob Howland,"Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Stats","Indie, Simulation, Strategy",799
23,496350,Supipara - Chapter 1 Spring Has Come!,"Jul 29, 2016",False,14.99,14.99,minori,"Single-player, Steam Trading Cards, Steam Cloud",Adventure,174
24,513820,LUXIS,"Oct 26, 2016",False,4.99,4.99,Dumbfounded,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Action, Casual, Indie, Strategy",0
25,546330,SPACE MOUSE 35th Anniversary edition,"Nov 8, 2016",False,4.99,4.99,"Mindware Co.,Ltd.","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards","Action, Casual, Indie",0
26,557680,Germ Wars,"Nov 21, 2016",False,0.99,0.99,Svarog Studios,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support","Action, Casual, Indie",169
27,485730,Shift,"Aug 16, 2016",False,0.99,0.99,Black Lime Studio,"Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards","Indie, Strategy",206
28,574690,Mr. Triangle's Adventure,"Jan 31, 2017",False,0.99,0.99,Red Triangle Games,"Single-player, Steam Trading Cards","Adventure, Indie, RPG",0
29,264140,Pixel Piracy,"Jul 31, 2014",False,9.99,9.99,Vitali Kirpu,"Single-player, Steam Achievements, Steam Trading Cards","Adventure, Indie, RPG, Simulation",5334
30,336240,Typoman,"Aug 15, 2016",False,9.99,9.99,Brainseed Factory,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV","Adventure, Indie",405
31,214190,Minimum,"Sep 10, 2014",False,0.0,0.0,None,"Multi-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Stats",Action,3067
32,547520,Rapture - World Conquest,"Jul 31, 2017",False,2.99,2.99,Tundra Games Ltd,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Remote Play Together","Casual, Strategy",0
33,377860,Mushihimesama,"Nov 12, 2015",False,19.99,19.99,"CAVE Interactive CO.,LTD.","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together",Action,858
34,41000,Serious Sam HD: The First Encounter,"Nov 24, 2009",False,14.99,14.99,Croteam,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Remote Play Together","Action, Indie",4140
35,429470,Space Pilgrim Episode I: Alpha Centauri,"Dec 21, 2015",False,0.0,0.0,"Pilgrim Adventures, GrabTheGames Studios","Single-player, Steam Achievements, Steam Trading Cards","Adventure, Indie",740
36,212910,Call of Duty: Black Ops II - Zombies,,False,0.0,0.0,None,None,None,2461
37,427780,PERFECT ANGLE: The puzzle game based on optical illusions,"Dec 22, 2015",False,9.99,9.99,Ivanovich Games,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards","Adventure, Casual, Indie, Strategy",312
38,562270,Shot Shot Tactic,"Dec 1, 2016",False,3.99,3.99,Indie Game Group,"Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Trading Cards","Violent, Gore, Action, Casual, Indie, Early Access",434
39,561450,Mutant Fighting Cup 2,"Feb 15, 2017",False,5.99,5.99,playchocolate,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards","Action, Indie, RPG",0
40,367450,Poly Bridge,"Jul 12, 2016",False,9.99,9.99,Dry Cactus,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on Phone, Remote Play on Tablet","Indie, Simulation",9258
41,388210,Day of the Tentacle Remastered,"Mar 21, 2016",False,14.99,14.99,Double Fine Productions,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",Adventure,2251
42,218620,PAYDAY 2,"Aug 13, 2013",False,9.99,9.99,OVERKILL - a Starbreeze Studio.,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV","Action, RPG",279911
43,485310,Head Shot,"Jun 3, 2016",False,1.99,1.99,Indie Game Group,"Multi-player, Steam Achievements, Steam Trading Cards, Stats","Action, Adventure, Casual, Indie, Early Access",136
44,366440,Savage Resurrection,"Aug 18, 2016",False,19.99,19.99,"S2 Games, LLC","Multi-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards","Action, RPG, Strategy",870
45,262060,Darkest Dungeon®,"Jan 19, 2016",False,6.24,24.99,Red Hook Studios,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Remote Play on Tablet","Indie, RPG, Strategy",68606
46,394310,Punch Club,"Jan 8, 2016",False,9.99,9.99,Lazy Bear Games,"Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud","Indie, RPG, Strategy",6863
47,347590,Heroes of Hellas 3: Athens,"Mar 12, 2015",False,2.99,2.99,Alawar Entertainment,"Single-player, Steam Trading Cards","Casual, Strategy",101
48,381250,Stardrift Nomads,"Apr 7, 2017",False,9.99,9.99,Risen Games,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards","Action, Indie, Strategy",0
49,312840,Fahrenheit: Indigo Prophecy Remastered,"Jan 28, 2015",False,9.99,9.99,"Aspyr, Quantic Dream (original release)","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Adventure, RPG",2703
50,252950,Rocket League®,"Jul 7, 2015",False,19.99,19.99,Psyonix LLC,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together","Action, Indie, Racing, Sports",333485
51,473560,Cosmic Dust & Rust,"May 17, 2016",False,0.99,0.99,16bit Nights,"Single-player, Steam Trading Cards","Action, Casual, Indie, Strategy",165
52,454890,Project Starship,"Apr 5, 2016",False,2.99,2.99,Panda Indie Studio,"Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together","Action, Casual, Indie",289
53,360950,Descent: Underground,"Oct 22, 2015",False,29.99,29.99,Descendent Studios Inc.,"Single-player, Multi-player, Online Multi-Player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, VR Support","Action, Indie, Early Access",395
54,204450,Call of Juarez: Gunslinger,"May 22, 2013",False,14.99,14.99,Techland,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards",Action,11033
55,569540,Rest In Peace,"Dec 15, 2016",False,0.99,0.99,Elusive Team,"Single-player, Steam Trading Cards","Casual, Indie",110
56,487220,Freebie,"Jun 16, 2016",False,0.99,0.99,"Free Games Info, hyperboreanGames","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards","Casual, Indie",310
57,393200,Bad Rats Show,"Jul 20, 2016",False,1.99,1.99,Invent4 Entretenimento,"Single-player, Steam Achievements, Captions available, Steam Workshop, Partial Controller Support, Stats, Steam Leaderboards, Includes level editor","Action, Casual, Indie, Simulation, Strategy",415
58,543170,Project: R.E.B.O.O.T,"Oct 26, 2016",False,0.49,0.99,Indie Games Studio,"Single-player, Steam Trading Cards","Action, Adventure, Casual, Indie",0
59,568890,Its your last chance in new school,"Dec 17, 2016",False,3.99,3.99,POWER Industries,"Single-player, Steam Trading Cards","Action, Casual, Indie, Simulation",0
60,233130,Shadow Warrior,"Sep 26, 2013",False,39.99,39.99,Flying Wild Hog,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Remote Play on TV","Action, Adventure",12412
